Prof. Dr. Iqbal Saifullah Khan,10:00am-12:00pm,10:00am-12:00pm,10:00am-12:00pm,10:00am-12:00pm,10:00am-12:00pm,
Maj Gen (R). Dr. Waqar Ahmed H I (M),9:00am - 11:00am,9:00am - 11:00am,9:00am - 11:00am,9:00am - 11:00am,9:00am - 11:00am,
Dr. Shazli Manzoor,10:00am-12:00pm,10:00am-12:00pm,10:00am-12:00pm,10:00am-12:00pm,10:00am-12:00pm,10:00am-12:00pm
Dr. Faridullah Khan,02:00pm-03:00pm,02:00pm-03:00pm,02:00pm-03:00pm,02:00pm-03:00pm,02:00pm-03:00pm,
Prof. Dr. Imran Sikander Khan,6:00pm - 8:00pm,6:00pm - 8:00pm,6:00pm - 8:00pm,6:00pm - 8:00pm,6:00pm - 8:00pm,
Prof Dr. Inayatullah Khan,10:00 am - 05:30 pm,11:00 am - 05:30 pm,11:00 am - 05:30 pm,11:00 am - 05:30 pm,11:00 am - 05:30 pm,11:00 am - 05:00 pm
Brig. Dr. Nadir Ali SI (M) (R),10:00am - 5:00pm,10:00am - 5:00pm,10:00am - 5:00pm,10:00am - 5:00pm,10:00am - 5:00pm,10:00am - 5:00pm
Dr.Umar Zia khan,9:00 am - 06:00 pm,9:00 am - 06:00 pm,9:00 am - 06:00 pm,9:00 am - 06:00 pm,9:00 am - 06:00 pm,10:00 am - 05:00 pm
Dr. Riaz Mahmood,5:00pm - 8:00pm,5:00pm - 8:00pm,5:00pm - 8:00pm,5:00pm - 8:00pm,5:00pm - 8:00pm,
Dr. Tanseer Asghar,2:00pm - 5:00pm,2:00pm - 5:00pm,2:00pm - 5:00pm,2:00pm - 5:00pm,2:00pm - 5:00pm,2:00pm - 5:00pm
Dr Tehmina Yousaf,05:00 pm - 07:00 pm,05:00 pm - 07:00 pm,05:00 pm - 07:00 pm,05:00 pm - 07:00 pm,05:00 pm - 07:00 pm,
Dr M Talha Bin Nazir,,02:30pm - 04:30pm,,02:30pm - 04:30pm,,
Prof. Dr. Nighat Bilal,12:00pm-2:00pm,12:00pm-2:00pm,12:00pm-2:00pm,12:00pm-2:00pm,12:00pm-2:00pm,12:00pm-2:00pm
Major General (R) Dr. Sohail Aziz HI (M),02:30pm - 05:30pm,02:30pm - 05:30pm,02:30pm - 05:30pm,02:30pm - 05:30pm,02:30pm - 05:30pm,
Dr. Aamir Ghazanfar,5:00 pm - 7:30 pm,5:00 pm - 7:30 pm,5:00 pm - 7:30 pm,5:00 pm - 7:30 pm,5:00 pm - 7:30 pm,
Prof. Dr. Tanveer Khaliq,6:00pm - 7:00pm,6:00pm - 7:00pm,6:00 pm - 7:00 pm,6:00 pm - 7:00 pm,6:00pm - 7:00pm,
Dr. Noman Mudassir,09:00am - 04:00pm,09:00am - 04:00pm,09:00am - 04:00pm,09:00am - 04:00pm,09:00am - 04:00pm,09:00am - 04:00pm
Dr. Habib-Ur-Rehman,9:00am - 6:00pm,9:00am - 6:00pm,9:00am - 6:00pm,9:00am - 6:00pm,9:00am - 6:00pm,10:00am - 4:00pm
Dr. Muhammad Shahed Omar,11:00 am - 03:30 pm,11:00 am - 03:30 pm,11:00 am - 03:30 pm,11:00 am - 03:30 pm,11:00 am - 03:30 pm,
Prof.Dr.Afaq Ahmad,01:00 pm - 03:00 pm,01:00 pm - 03:00 pm,01:00 pm - 03:00 pm,01:00 pm - 03:00 pm,01:00 pm - 03:00 pm,
Dr. GHULAM FAREED,09:00 am -05:00 pm,09:00 am -05:00 pm,09:00 am -05:00 pm,09:00 am -05:00 pm,09:00 am -05:00 pm,09:00 am -05:00 pm
Prof. Dr. Sameeh J. Khan,10:00am - 12:30pm,,10:00am - 12:30pm,10:00am - 12:30pm,,
"Brig. Dr. Zubair Babar, SI(M) (R)",12:00pm - 6:00pm,12:00pm - 6:00pm,12:00pm - 6:00pm,12:00pm - 6:00pm,12:00pm - 6:00pm,12:00pm - 6:00pm
